id_production,id_content,title_production,genre,premiere,runtime,imdb_score,language,type,title_content,director,cast,country,date_added,release_year,rating,duration,listed_in,description,id_oscar,id_inf,id_res,title_oscar,year_ceremony,category,name,winner,directed_by,based_on,starring,distributed_by,budget,budget_x_million,box_office,box_office_x_million,imdb,metascore,rotten_tomatoes
149.0,2188.0,Seriously Single,Comedy,"July 31, 2020",107.0,4.5,English,TV Show,HQ Barbers,Gerhard Mostert,"Hakeem Kae-Kazim, Chioma Omeruah, Orukotan Adejola, Flora Chiedo, Emeka Nwagbaraocha, Anthony Oseyemi, Oluwabukola Thomas, Soibifaa Dokubo",NA,"September 1, 2021",2020,TV-14,1 Season,TV Shows,"When a family run barber shop in the heart of Lagos is threatened by real estate developers, they'll do whatever it takes to stay in business.",148.0,793.0,10728.0,All Quiet on the Western Front,2023.0,CINEMATOGRAPHY,James Friend,1.0,Lewis Milestone,['All Quiet on the Western Front'. 'by'. 'Erich Maria Remarque'],['Lew Ayres'. 'Louis Wolheim'],Universal Pictures,$1.2 million,1.2,['$1.634.001 (US rentals)'. '$3 million'. '(worldwide rentals)'],1.634001,8.1,91.0,98.0
150.0,2200.0,The Speed Cubers,Documentary,"July 29, 2020",40.0,7.4,English,Movie,I Got the Hook Up,Michael Martin,"Master P, Anthony Johnson, Gretchen Palmer, Frantz Turner, Richard Keats, Joe Estevez, William Knight, Anthony Boswell, Tommy 'Tiny' Lister, Helen Martin, John Witherspoon, Mia X",United States,"September 1, 2021",1998,R,93 min,"Action & Adventure, Comedies","After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van.",149.0,793.0,10758.0,All Quiet on the Western Front,2023.0,INTERNATIONAL FEATURE FILM,Germany,1.0,Lewis Milestone,['All Quiet on the Western Front'. 'by'. 'Erich Maria Remarque'],['Lew Ayres'. 'Louis Wolheim'],Universal Pictures,$1.2 million,1.2,['$1.634.001 (US rentals)'. '$3 million'. '(worldwide rentals)'],1.634001,8.1,91.0,98.0
152.0,2214.0,The Kissing Booth 2,Romantic comedy,"July 24, 2020",131.0,5.8,English,Movie,In Too Deep,Michael Rymer,"Omar Epps, LL Cool J, Nia Long, Stanley Tucci, Pam Grier, Hill Harper, Jake Weber, David Patrick Kelly, Veronica Webb, Ron Canada, Robert LaSardo, Gano Grills, Ivonne Coll, Don Harvey, Mya, Nasir 'Nas' Jones, Jermaine Dupri",United States,"September 1, 2021",1999,R,97 min,Thrillers,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder.",150.0,793.0,10763.0,All Quiet on the Western Front,2023.0,MAKEUP AND HAIRSTYLING,Heike Merker and Linda Eisenhamerová,0.0,Lewis Milestone,['All Quiet on the Western Front'. 'by'. 'Erich Maria Remarque'],['Lew Ayres'. 'Louis Wolheim'],Universal Pictures,$1.2 million,1.2,['$1.634.001 (US rentals)'. '$3 million'. '(worldwide rentals)'],1.634001,8.1,91.0,98.0
153.0,2216.0,The Larva Island Movie,Animation,"July 23, 2020",90.0,5.1,English,Movie,Initial D,"Andrew Lau Wai-keung, Alan Mak","Jay Chou, Anne Suzuki, Edison Chen, Anthony Wong Chau-sang, Shawn Yue, Chapman To, Jordan Chan, Kenny Bee","China, Hong Kong","September 1, 2021",2005,TV-14,109 min,"Action & Adventure, International Movies","By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel.",151.0,793.0,10768.0,All Quiet on the Western Front,2023.0,MUSIC (Original Score),Volker Bertelmann,1.0,Lewis Milestone,['All Quiet on the Western Front'. 'by'. 'Erich Maria Remarque'],['Lew Ayres'. 'Louis Wolheim'],Universal Pictures,$1.2 million,1.2,['$1.634.001 (US rentals)'. '$3 million'. '(worldwide rentals)'],1.634001,8.1,91.0,98.0
154.0,2229.0,Father Soldier Son,Documentary,"July 17, 2020",100.0,7.3,English,Movie,Janoskians: Untold and Untrue,Brett Weiner,"Jai Brooks, Luke Brooks, James Yammouni, Daniel Sahyounie, Beau Brooks",United States,"September 1, 2021",2016,TV-MA,88 min,Comedies,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.,152.0,793.0,10778.0,All Quiet on the Western Front,2023.0,BEST PICTURE,Malte Grunert. Producer,0.0,Lewis Milestone,['All Quiet on the Western Front'. 'by'. 'Erich Maria Remarque'],['Lew Ayres'. 'Louis Wolheim'],Universal Pictures,$1.2 million,1.2,['$1.634.001 (US rentals)'. '$3 million'. '(worldwide rentals)'],1.634001,8.1,91.0,98.0
155.0,2233.0,Fatal Affair,Thriller,"July 16, 2020",89.0,4.5,English,TV Show,Kid-E-Cats,NA,"Lori Gardner, Kate Bristol, Billy Bob Thompson, Marc Thompson, Erica Schroeder",Russia,"September 1, 2021",2016,TV-Y,2 Seasons,Kids' TV,"Cookie, Pudding and Candy are kitten siblings whose favorite things are sweet treats and letting their curiosity lead them on adventures in learning.",153.0,793.0,10788.0,All Quiet on the Western Front,2023.0,PRODUCTION DESIGN,Production Design: Christian M. Goldbeck. Set Decoration: Ernestine Hipper,1.0,Lewis Milestone,['All Quiet on the Western Front'. 'by'. 'Erich Maria Remarque'],['Lew Ayres'. 'Louis Wolheim'],Universal Pictures,$1.2 million,1.2,['$1.634.001 (US rentals)'. '$3 million'. '(worldwide rentals)'],1.634001,8.1,91.0,98.0
156.0,2241.0,The Players,Comedy,"July 15, 2020",88.0,4.6,Italian,TV Show,Kuroko's Basketball,NA,"Kensho Ono, Yuki Ono, Chiwa Saito, Yoshimasa Hosoya, Hirofumi Nojima, Kenji Hamada, Takuya Eguchi, Soichiro Hoshi, Tatsuhisa Suzuki, Go Inoue, Daisuke Ono, Ryohei Kimura, Junichi Suwabe, Kazuya Nakai, Fumiko Orikasa, Kenichi Suzumura, Kisho Taniyama, Hiroshi Kamiya",Japan,"September 1, 2021",2015,TV-MA,3 Seasons,"Anime Series, International TV Shows, Teen TV Shows","Five middle school basketball stars went to separate high schools, and now Tetsuya Kuroko and Seirin High are making their play for glory.",154.0,793.0,10803.0,All Quiet on the Western Front,2023.0,SOUND,Viktor Prášil. Frank Kruse. Markus Stemler. Lars Ginzel and Stefan Korte,0.0,Lewis Milestone,['All Quiet on the Western Front'. 'by'. 'Erich Maria Remarque'],['Lew Ayres'. 'Louis Wolheim'],Universal Pictures,$1.2 million,1.2,['$1.634.001 (US rentals)'. '$3 million'. '(worldwide rentals)'],1.634001,8.1,91.0,98.0
157.0,2244.0,We Are One,Documentary,"July 14, 2020",86.0,4.6,French,Movie,Labyrinth,Jim Henson,"David Bowie, Jennifer Connelly, Frank Oz, Kevin Clash, Anthony Asbury, Dave Goelz, Brian Henson, Ron Mueck, Karen Prell, Shari Weiser","United Kingdom, United States","September 1, 2021",1986,PG,101 min,"Action & Adventure, Children & Family Movies, Cult Movies","In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin.",155.0,793.0,10808.0,All Quiet on the Western Front,2023.0,VISUAL EFFECTS,Frank Petzold. Viktor Müller. Markus Frank and Kamil Jafar,0.0,Lewis Milestone,['All Quiet on the Western Front'. 'by'. 'Erich Maria Remarque'],['Lew Ayres'. 'Louis Wolheim'],Universal Pictures,$1.2 million,1.2,['$1.634.001 (US rentals)'. '$3 million'. '(worldwide rentals)'],1.634001,8.1,91.0,98.0
158.0,2249.0,The Claudia Kishi Club,Documentary,"July 10, 2020",17.0,6.9,English,Movie,Letters to Juliet,Gary Winick,"Amanda Seyfried, Christopher Egan, Gael García Bernal, Vanessa Redgrave, Franco Nero, Luisa Ranieri, Marina Massironi, Milena Vukotic, Marcia DeBonis, Luisa De Santis, Lidia Biondi, Giordano Formenti, Chris Egan",United States,"September 1, 2021",2010,PG,105 min,"Comedies, Dramas, Romantic Movies","By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance.",156.0,793.0,10813.0,All Quiet on the Western Front,2023.0,WRITING (Adapted Screenplay),Screenplay - Edward Berger. Lesley Paterson & Ian Stokell,0.0,Lewis Milestone,['All Quiet on the Western Front'. 'by'. 'Erich Maria Remarque'],['Lew Ayres'. 'Louis Wolheim'],Universal Pictures,$1.2 million,1.2,['$1.634.001 (US rentals)'. '$3 million'. '(worldwide rentals)'],1.634001,8.1,91.0,98.0
159.0,2251.0,The Old Guard,Superhero/Action,"July 10, 2020",124.0,6.7,English,Movie,Level 16,Danishka Esterhazy,"Katie Douglas, Celina Martin, Peter Outerbridge, Sara Canning, Alexis Whelan, Amalia Williamson, Josette Halpert, Kiana Madeira",Canada,"September 1, 2021",2018,TV-14,102 min,"Sci-Fi & Fantasy, Thrillers","In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape.",157.0,582.0,5769.0,All That Jazz,1980.0,ACTOR IN A LEADING ROLE,Roy Scheider,0.0,Bob Fosse,NA,['Roy Scheider'. 'Jessica Lange'. 'Ann Reinking'. 'Leland Palmer'. 'Cliff Gorman'. 'Ben Vereen'],['20th Century Fox (North America)'. 'Columbia Pictures (International)'],$12 million,12.0,$37.8 million,37.8,7.9,72.0,87.0
160.0,2295.0,Desperados,Romantic comedy,"July 3, 2020",106.0,5.2,English,Movie,Love Don't Cost a Thing,Troy Byer,"Nick Cannon, Christina Milian, Kenan Thompson, Kal Penn, Steve Harvey, Al Thompson, Ashley Monique Clark, Elimu Nelson, Nichole Robinson, Melissa Schuman",United States,"September 1, 2021",2003,PG-13,101 min,"Comedies, Romantic Movies",A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.,158.0,582.0,5787.0,All That Jazz,1980.0,ART DIRECTION,Art Direction: Philip Rosenberg. Tony Walton. Set Decoration: Edward Stewart. Gary Brink,1.0,Bob Fosse,NA,['Roy Scheider'. 'Jessica Lange'. 'Ann Reinking'. 'Leland Palmer'. 'Cliff Gorman'. 'Ben Vereen'],['20th Century Fox (North America)'. 'Columbia Pictures (International)'],$12 million,12.0,$37.8 million,37.8,7.9,72.0,87.0
161.0,2320.0,Under the Riccione Sun,Romantic teenage drama,"July 1, 2020",101.0,5.4,Italian,Movie,Love in a Puff,Pang Ho-cheung,"Miriam Chin Wah Yeung, Shawn Yue, Singh Hartihan Bitto, Isabel Chan, Cheung Tat-ming, Matt Chow, Chui Tien-you, Queenie Chu, Charmaine Fong, Vincent Kok",Hong Kong,"September 1, 2021",2010,TV-MA,103 min,"Comedies, Dramas, International Movies","When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections.",159.0,582.0,5791.0,All That Jazz,1980.0,CINEMATOGRAPHY,Giuseppe Rotunno,0.0,Bob Fosse,NA,['Roy Scheider'. 'Jessica Lange'. 'Ann Reinking'. 'Leland Palmer'. 'Cliff Gorman'. 'Ben Vereen'],['20th Century Fox (North America)'. 'Columbia Pictures (International)'],$12 million,12.0,$37.8 million,37.8,7.9,72.0,87.0
162.0,2331.0,Eurovision Song Contest: The Story of Fire Saga,Musical comedy,"June 26, 2020",123.0,6.5,English,TV Show,Major Dad,NA,"Gerald McRaney, Shanna Reed, Nicole Dubuc, Chelsea Hertford, Marisa Ryan, Matt Mulhern, Beverly Archer, Jon Cypher",United States,"September 1, 2021",1992,TV-PG,4 Seasons,TV Comedies,"When he marries a journalist and becomes stepdad to her daughters, a U.S. Marine finds his once-orderly life no longer entirely under his command.",160.0,582.0,5797.0,All That Jazz,1980.0,COSTUME DESIGN,Albert Wolsky,1.0,Bob Fosse,NA,['Roy Scheider'. 'Jessica Lange'. 'Ann Reinking'. 'Leland Palmer'. 'Cliff Gorman'. 'Ben Vereen'],['20th Century Fox (North America)'. 'Columbia Pictures (International)'],$12 million,12.0,$37.8 million,37.8,7.9,72.0,87.0
163.0,2342.0,Athlete A,Documentary,"June 24, 2020",104.0,7.6,English,Movie,Mars Attacks!,Tim Burton,"Jack Nicholson, Glenn Close, Annette Bening, Pierce Brosnan, Danny DeVito, Martin Short, Sarah Jessica Parker, Michael J. Fox, Rod Steiger, Tom Jones, Lukas Haas, Natalie Portman",United States,"September 1, 2021",1996,PG-13,106 min,"Comedies, Cult Movies, Sci-Fi & Fantasy","As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace.",161.0,582.0,5801.0,All That Jazz,1980.0,DIRECTING,Bob Fosse,0.0,Bob Fosse,NA,['Roy Scheider'. 'Jessica Lange'. 'Ann Reinking'. 'Leland Palmer'. 'Cliff Gorman'. 'Ben Vereen'],['20th Century Fox (North America)'. 'Columbia Pictures (International)'],$12 million,12.0,$37.8 million,37.8,7.9,72.0,87.0
164.0,2343.0,Bulbbul,Horror,"June 24, 2020",94.0,6.6,Hindi,Movie,Marshall,Reginald Hudlin,"Chadwick Boseman, Josh Gad, Kate Hudson, Sterling K. Brown, Dan Stevens, James Cromwell, Keesha Sharp, Roger Guenveur Smith, Derrick Baskin, Barrett Doss","United States, China, Hong Kong","September 1, 2021",2017,PG-13,118 min,Dramas,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer.",162.0,582.0,5816.0,All That Jazz,1980.0,FILM EDITING,Alan Heim,1.0,Bob Fosse,NA,['Roy Scheider'. 'Jessica Lange'. 'Ann Reinking'. 'Leland Palmer'. 'Cliff Gorman'. 'Ben Vereen'],['20th Century Fox (North America)'. 'Columbia Pictures (International)'],$12 million,12.0,$37.8 million,37.8,7.9,72.0,87.0
165.0,2345.0,Nobody Knows I'm Here,Drama,"June 24, 2020",91.0,6.5,Spanish,Movie,My Boss's Daughter,David Zucker,"Ashton Kutcher, Tara Reid, Jeffrey Tambor, Andy Richter, Michael Madsen, Jon Abrahams, David Koechner, Carmen Electra, Kenan Thompson, Terence Stamp, Molly Shannon",United States,"September 1, 2021",2003,R,86 min,"Comedies, Romantic Movies","A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush.",163.0,582.0,5831.0,All That Jazz,1980.0,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),Adaptation Score by Ralph Burns,1.0,Bob Fosse,NA,['Roy Scheider'. 'Jessica Lange'. 'Ann Reinking'. 'Leland Palmer'. 'Cliff Gorman'. 'Ben Vereen'],['20th Century Fox (North America)'. 'Columbia Pictures (International)'],$12 million,12.0,$37.8 million,37.8,7.9,72.0,87.0
166.0,2357.0,Feel the Beat,Family/Comedy-drama,"June 19, 2020",107.0,6.3,English,Movie,Mystery Men,Kinka Usher,"Ben Stiller, Hank Azaria, William H. Macy, Janeane Garofalo, Kel Mitchell, Paul Reubens, Wes Studi, Greg Kinnear, Geoffrey Rush, Lena Olin, Eddie Izzard, Artie Lange, Pras, Claire Forlani, Tom Waits",United States,"September 1, 2021",1999,PG-13,121 min,"Action & Adventure, Comedies",A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.,164.0,582.0,5839.0,All That Jazz,1980.0,BEST PICTURE,Robert Alan Aurthur. Producer,0.0,Bob Fosse,NA,['Roy Scheider'. 'Jessica Lange'. 'Ann Reinking'. 'Leland Palmer'. 'Cliff Gorman'. 'Ben Vereen'],['20th Century Fox (North America)'. 'Columbia Pictures (International)'],$12 million,12.0,$37.8 million,37.8,7.9,72.0,87.0
167.0,2359.0,Lost Bullet,Thriller,"June 19, 2020",92.0,6.2,French,TV Show,Oldsters,NA,"Patricio Contreras, Alejandro Goic, Sergio Hernández, Mariana Loyola Ruz, Alejandro Trejo, Daniel Alcaíno Cuevas, Nicolás Poblete, Susana Hidalgo, Gloria Münchmeyer",NA,"September 1, 2021",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Three friends in their 70s step out of retirement to become a band of outlaws whose mission is to help those let down by the justice system.,165.0,582.0,5867.0,All That Jazz,1980.0,WRITING (Screenplay Written Directly for the Screen),Robert Alan Aurthur. Bob Fosse,0.0,Bob Fosse,NA,['Roy Scheider'. 'Jessica Lange'. 'Ann Reinking'. 'Leland Palmer'. 'Cliff Gorman'. 'Ben Vereen'],['20th Century Fox (North America)'. 'Columbia Pictures (International)'],$12 million,12.0,$37.8 million,37.8,7.9,72.0,87.0
168.0,2361.0,One-Way to Tomorrow,Romance,"June 19, 2020",90.0,5.6,Turkish,Movie,Once Upon a Time in America,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld, Burt Young, Joe Pesci, Danny Aiello, William Forsythe, James Hayden","Italy, United States","September 1, 2021",1984,R,229 min,"Classic Movies, Dramas",Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.,166.0,624.0,5448.0,All the President’s Men,1977.0,ACTOR IN A SUPPORTING ROLE,Jason Robards,1.0,Alan J. Pakula,"[""All the President's Men"". 'by'. 'Carl Bernstein'. 'Bob Woodward']",['Dustin Hoffman'. 'Robert Redford'. 'Jack Warden'. 'Martin Balsam'. 'Hal Holbrook'. 'Jason Robards'],Warner Bros.,$8.5 million,8.5,$70.6 million,70.6,8.0,84.0,94.0
169.0,2365.0,A Whisker Away,Anime/Fantasy,"June 18, 2020",104.0,6.7,Japanese,Movie,Open Season 2,"Matthew O'Callaghan, Todd Wilderman","Joel McHale, Mike Epps, Jane Krakowski, Billy Connolly, Crispin Glover, Steve Schirripa, Georgia Engel, Diedrich Bader, Cody Cameron, Fred Stoller, Olivia Hack","United States, Canada","September 1, 2021",2008,PG,76 min,"Children & Family Movies, Comedies",Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.,167.0,624.0,5455.0,All the President’s Men,1977.0,ACTRESS IN A SUPPORTING ROLE,Jane Alexander,0.0,Alan J. Pakula,"[""All the President's Men"". 'by'. 'Carl Bernstein'. 'Bob Woodward']",['Dustin Hoffman'. 'Robert Redford'. 'Jack Warden'. 'Martin Balsam'. 'Hal Holbrook'. 'Jason Robards'],Warner Bros.,$8.5 million,8.5,$70.6 million,70.6,8.0,84.0,94.0
170.0,2373.0,One Take,Documentary,"June 18, 2020",85.0,5.7,Thai,Movie,Osmosis Jones,"Bobby Farrelly, Peter Farrelly","Chris Rock, Laurence Fishburne, David Hyde Pierce, Brandy Norwood, William Shatner, Ron Howard, Kid Rock, Ben Stein",United States,"September 1, 2021",2001,PG,95 min,"Action & Adventure, Children & Family Movies, Comedies",Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.,168.0,624.0,5460.0,All the President’s Men,1977.0,ART DIRECTION,Art Direction: George Jenkins. Set Decoration: George Gaines,1.0,Alan J. Pakula,"[""All the President's Men"". 'by'. 'Carl Bernstein'. 'Bob Woodward']",['Dustin Hoffman'. 'Robert Redford'. 'Jack Warden'. 'Martin Balsam'. 'Hal Holbrook'. 'Jason Robards'],Warner Bros.,$8.5 million,8.5,$70.6 million,70.6,8.0,84.0,94.0
171.0,4654.0,City of Joy,Documentary,"September 7, 2018",74.0,7.5,English,Movie,Poseidon,Wolfgang Petersen,"Josh Lucas, Kurt Russell, Jacinda Barrett, Richard Dreyfuss, Emmy Rossum, Mía Maestro, Mike Vogel, Kevin Dillon, Freddy Rodríguez",United States,"September 1, 2021",2006,PG-13,98 min,"Action & Adventure, Dramas","A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival.",169.0,624.0,5477.0,All the President’s Men,1977.0,DIRECTING,Alan J. Pakula,0.0,Alan J. Pakula,"[""All the President's Men"". 'by'. 'Carl Bernstein'. 'Bob Woodward']",['Dustin Hoffman'. 'Robert Redford'. 'Jack Warden'. 'Martin Balsam'. 'Hal Holbrook'. 'Jason Robards'],Warner Bros.,$8.5 million,8.5,$70.6 million,70.6,8.0,84.0,94.0
172.0,2394.0,Da 5 Bloods,War drama,"June 12, 2020",155.0,6.5,English,Movie,Same Kind of Different as Me,Michael Carney,"Greg Kinnear, Renée Zellweger, Djimon Hounsou, Jon Voight, Olivia Holt",United States,"September 1, 2021",2017,PG-13,120 min,"Dramas, Faith & Spirituality",A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.,170.0,624.0,5492.0,All the President’s Men,1977.0,FILM EDITING,Robert L. Wolfe,0.0,Alan J. Pakula,"[""All the President's Men"". 'by'. 'Carl Bernstein'. 'Bob Woodward']",['Dustin Hoffman'. 'Robert Redford'. 'Jack Warden'. 'Martin Balsam'. 'Hal Holbrook'. 'Jason Robards'],Warner Bros.,$8.5 million,8.5,$70.6 million,70.6,8.0,84.0,94.0
173.0,2421.0,Choked: Paisa Bolta Hai,Drama,"June 5, 2020",114.0,5.8,Hindi,Movie,School of Rock,Richard Linklater,"Jack Black, Joan Cusack, Mike White, Sarah Silverman, Lee Wilkof, Kate McGregor-Stewart, Adam Pascal, Suzzanne Douglas, Miranda Cosgrove, Kevin Alexander Clark, Joey Gaydos Jr., Robert Tsai, Veronica Afflerbach, Jordan-Claire Green","United States, Germany","September 1, 2021",2003,PG-13,110 min,"Comedies, Music & Musicals","Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll.",171.0,624.0,5517.0,All the President’s Men,1977.0,BEST PICTURE,Walter Coblenz. Producer,0.0,Alan J. Pakula,"[""All the President's Men"". 'by'. 'Carl Bernstein'. 'Bob Woodward']",['Dustin Hoffman'. 'Robert Redford'. 'Jack Warden'. 'Martin Balsam'. 'Hal Holbrook'. 'Jason Robards'],Warner Bros.,$8.5 million,8.5,$70.6 million,70.6,8.0,84.0,94.0
174.0,2425.0,The Last Days of American Crime,Heist film/Thriller,"June 5, 2020",149.0,3.7,English,Movie,Snervous Tyler Oakley,Amy Rice,Tyler Oakley,United States,"September 1, 2021",2015,PG-13,83 min,"Documentaries, LGBTQ Movies","The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour.",172.0,624.0,5530.0,All the President’s Men,1977.0,SOUND,Arthur Piantadosi. Les Fresholtz. Dick Alexander. Jim Webb,1.0,Alan J. Pakula,"[""All the President's Men"". 'by'. 'Carl Bernstein'. 'Bob Woodward']",['Dustin Hoffman'. 'Robert Redford'. 'Jack Warden'. 'Martin Balsam'. 'Hal Holbrook'. 'Jason Robards'],Warner Bros.,$8.5 million,8.5,$70.6 million,70.6,8.0,84.0,94.0
175.0,2432.0,Spelling the Dream,Documentary,"June 3, 2020",83.0,6.9,English,Movie,Tears of the Sun,Antoine Fuqua,"Bruce Willis, Monica Bellucci, Cole Hauser, Eamonn Walker, Johnny Messner, Nick Chinlund, Charles Ingram, Paul Francis, Chad Smith, Tom Skerritt, Malick Bowens, Awaovieyi Agie",United States,"September 1, 2021",2003,R,121 min,"Action & Adventure, Dramas","A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care.",173.0,624.0,5537.0,All the President’s Men,1977.0,WRITING (Screenplay--based on material from another medium),William Goldman,1.0,Alan J. Pakula,"[""All the President's Men"". 'by'. 'Carl Bernstein'. 'Bob Woodward']",['Dustin Hoffman'. 'Robert Redford'. 'Jack Warden'. 'Martin Balsam'. 'Hal Holbrook'. 'Jason Robards'],Warner Bros.,$8.5 million,8.5,$70.6 million,70.6,8.0,84.0,94.0
176.0,2466.0,Intuition,Thriller,"may 28, 2020",116.0,5.3,Spanish,Movie,The Blue Lagoon,Randal Kleiser,"Brooke Shields, Christopher Atkins, Leo McKern, William Daniels, Elva Josephson, Glenn Kohan, Alan Hopgood, Gus Mercurio",United States,"September 1, 2021",1980,R,105 min,"Dramas, Romantic Movies","Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise.",174.0,522.0,6294.0,Amadeus,1985.0,ACTOR IN A LEADING ROLE,F. Murray Abraham,1.0,Miloš Forman,['Amadeus'. 'by Peter Shaffer'],['F. Murray Abraham'. 'Tom Hulce'. 'Elizabeth Berridge'. 'Simon Callow'. 'Roy Dotrice'. 'Christine Ebersole'. 'Jeffrey Jones'. 'Charles Kay'],Orion Pictures,$18 million,18.0,$90 million,90.0,8.3,88.0,93.0
177.0,2468.0,I'm No Longer Here,Drama,"may 27, 2020",105.0,7.3,Spanish,Movie,The Golden Child,Michael Ritchie,"Eddie Murphy, J.L. Reate, Charles Dance, Charlotte Lewis, Victor Wong, Randall Tex Cobb, James Hong, Shakti Chen, Tau Logo, Tiger Chung Lee",United States,"September 1, 2021",1986,PG-13,94 min,"Action & Adventure, Comedies",A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.,175.0,522.0,6297.0,Amadeus,1985.0,ACTOR IN A LEADING ROLE,Tom Hulce,0.0,Miloš Forman,['Amadeus'. 'by Peter Shaffer'],['F. Murray Abraham'. 'Tom Hulce'. 'Elizabeth Berridge'. 'Simon Callow'. 'Roy Dotrice'. 'Christine Ebersole'. 'Jeffrey Jones'. 'Charles Kay'],Orion Pictures,$18 million,18.0,$90 million,90.0,8.3,88.0,93.0
178.0,2480.0,The Lovebirds,Romantic comedy,"may 22, 2020",87.0,6.1,English,Movie,The Guns of Navarone,J. Lee Thompson,"Gregory Peck, David Niven, Anthony Quinn, Stanley Baker, Anthony Quayle, James Darren, Irene Papas, Gia Scala, James Robertson Justice, Richard Harris","United Kingdom, United States","September 1, 2021",1961,TV-14,156 min,"Action & Adventure, Classic Movies","During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel.",176.0,522.0,6314.0,Amadeus,1985.0,ART DIRECTION,Art Direction: Patrizia Von Brandenstein. Set Decoration: Karel Cerny,1.0,Miloš Forman,['Amadeus'. 'by Peter Shaffer'],['F. Murray Abraham'. 'Tom Hulce'. 'Elizabeth Berridge'. 'Simon Callow'. 'Roy Dotrice'. 'Christine Ebersole'. 'Jeffrey Jones'. 'Charles Kay'],Orion Pictures,$18 million,18.0,$90 million,90.0,8.3,88.0,93.0
179.0,2541.0,The Wrong Missy,Comedy,"may 13, 2020",90.0,5.7,English,Movie,The Interview,"Evan Goldberg, Seth Rogen","James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy Simons, Reese Alexander, James Yi",United States,"September 1, 2021",2014,R,112 min,"Action & Adventure, Comedies",Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.,177.0,522.0,6319.0,Amadeus,1985.0,CINEMATOGRAPHY,Miroslav Ondricek,0.0,Miloš Forman,['Amadeus'. 'by Peter Shaffer'],['F. Murray Abraham'. 'Tom Hulce'. 'Elizabeth Berridge'. 'Simon Callow'. 'Roy Dotrice'. 'Christine Ebersole'. 'Jeffrey Jones'. 'Charles Kay'],Orion Pictures,$18 million,18.0,$90 million,90.0,8.3,88.0,93.0
180.0,2548.0,Have a Good Trip: Adventures in Psychedelics,Documentary,"may 11, 2020",85.0,6.8,English,Movie,The Nutty Professor,Tom Shadyac,"Eddie Murphy, Jada Pinkett Smith, James Coburn, Larry Miller, Dave Chappelle, John Ales, Patricia Wilson, Jamal Mixon",United States,"September 1, 2021",1996,PG-13,95 min,"Comedies, Romantic Movies","After being made fun of for his weight, a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance.",178.0,522.0,6324.0,Amadeus,1985.0,COSTUME DESIGN,Theodor Pistek,1.0,Miloš Forman,['Amadeus'. 'by Peter Shaffer'],['F. Murray Abraham'. 'Tom Hulce'. 'Elizabeth Berridge'. 'Simon Callow'. 'Roy Dotrice'. 'Christine Ebersole'. 'Jeffrey Jones'. 'Charles Kay'],Orion Pictures,$18 million,18.0,$90 million,90.0,8.3,88.0,93.0
